Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
C,6,0,17.0,2.0,3.2,0.632,0.0,0.0,,2.0,3.2,0.632,0.632,1.0,2.3,0.429,1.3,4.2,5.5,1.0,0.7,0.2,0.8,1.0,5.0
SG,1,0,5.0,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
SG,5,0,23.4,2.0,6.6,0.303,0.6,3.2,0.188,1.4,3.4,0.412,0.348,0.4,0.6,0.667,0.0,2.2,2.2,2.4,0.2,0.2,1.4,2.4,5.0
PG,6,0,7.7,1.3,2.8,0.471,0.2,0.3,0.5,1.2,2.5,0.467,0.5,2.2,2.7,0.813,0.3,1.3,1.7,1.7,1.3,0.3,1.2,1.0,5.0
PF,1,0,3.0,2.0,4.0,0.5,1.0,3.0,0.333,1.0,1.0,1.0,0.625,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
SF,1,0,2.0,2.0,3.0,0.667,1.0,2.0,0.5,1.0,1.0,1.0,0.833,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
SF,8,0,13.3,1.6,4.1,0.394,0.3,1.4,0.182,1.4,2.8,0.5,0.424,1.4,1.6,0.846,1.1,2.4,3.5,0.4,0.9,0.5,0.9,2.1,4.9
PF,5,0,19.6,1.8,3.2,0.563,1.2,2.6,0.462,0.6,0.6,1.0,0.75,0.0,0.0,,0.4,2.2,2.6,1.2,0.8,1.0,0.2,1.6,4.8
SG,4,1,9.5,1.5,2.8,0.545,1.0,2.3,0.444,0.5,0.5,1.0,0.727,0.8,1.8,0.429,0.3,1.3,1.5,0.3,1.3,0.0,0.5,0.8,4.8
SF,9,4,21.7,1.9,4.6,0.415,0.8,2.0,0.389,1.1,2.6,0.435,0.5,0.1,0.1,1.0,1.4,3.1,4.6,1.4,0.8,0.4,0.4,2.9,4.7
PG,3,0,12.3,2.0,4.3,0.462,0.0,0.3,0.0,2.0,4.0,0.5,0.462,0.7,0.7,1.0,0.3,1.3,1.7,1.0,1.0,0.3,1.0,2.0,4.7
C,7,0,13.1,2.3,3.9,0.593,0.0,0.4,0.0,2.3,3.4,0.667,0.593,0.1,0.3,0.5,1.9,3.0,4.9,0.9,0.4,0.4,1.0,2.3,4.7
PG,8,0,13.4,1.5,3.6,0.414,1.0,2.0,0.5,0.5,1.6,0.308,0.552,0.6,0.6,1.0,0.4,1.4,1.8,2.1,1.0,0.1,1.3,1.5,4.6
C,8,0,17.0,2.0,3.9,0.516,0.4,1.0,0.375,1.6,2.9,0.565,0.565,0.3,0.5,0.5,1.4,3.1,4.5,0.9,0.6,0.1,0.9,1.5,4.6
SF,2,0,14.5,1.5,4.5,0.333,1.0,3.0,0.333,0.5,1.5,0.333,0.444,0.5,1.0,0.5,0.5,2.5,3.0,0.5,0.0,0.5,0.5,0.5,4.5
PF,2,0,11.5,0.5,2.5,0.2,0.5,2.5,0.2,0.0,0.0,,0.3,3.0,3.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.5,4.5
PF,8,0,12.4,1.6,4.0,0.406,0.9,2.9,0.304,0.8,1.1,0.667,0.516,0.4,0.5,0.75,0.6,1.8,2.4,1.0,0.1,0.0,0.5,0.6,4.5
SG,4,0,17.3,1.8,3.8,0.467,1.0,2.0,0.5,0.8,1.8,0.429,0.6,0.0,0.0,,0.8,1.0,1.8,2.3,1.3,0.5,0.5,1.0,4.5
SG,2,0,6.5,2.0,3.5,0.571,0.0,1.0,0.0,2.0,2.5,0.8,0.571,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,4.5
SF,8,2,20.3,1.4,4.5,0.306,0.3,2.0,0.125,1.1,2.5,0.45,0.333,1.4,1.8,0.786,0.5,2.0,2.5,1.0,1.0,0.3,0.6,1.6,4.4
PG,7,0,15.0,1.9,5.1,0.361,0.6,1.9,0.308,1.3,3.3,0.391,0.417,0.1,0.3,0.5,0.7,1.0,1.7,1.7,0.7,0.3,0.9,2.1,4.4
PF,6,0,9.2,1.5,2.5,0.6,0.0,0.0,,1.5,2.5,0.6,0.6,1.3,2.3,0.571,1.3,1.3,2.7,0.3,0.2,0.8,0.3,1.8,4.3
SG,3,0,10.7,1.7,4.0,0.417,1.0,2.7,0.375,0.7,1.3,0.5,0.542,0.0,0.0,,0.3,1.0,1.3,0.7,0.0,0.0,0.0,1.3,4.3
PG,8,0,12.8,1.6,4.0,0.406,0.4,1.0,0.375,1.3,3.0,0.417,0.453,0.5,0.8,0.667,0.4,1.9,2.3,2.5,0.6,0.0,1.3,1.6,4.1
SG,7,0,11.3,1.7,3.1,0.545,0.3,1.3,0.222,1.4,1.9,0.769,0.591,0.4,0.6,0.75,0.3,1.1,1.4,0.4,0.1,0.1,0.6,1.1,4.1
C,1,0,5.0,2.0,3.0,0.667,0.0,0.0,,2.0,3.0,0.667,0.667,0.0,2.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,4.0
PF,2,0,14.5,2.0,4.5,0.444,0.0,2.0,0.0,2.0,2.5,0.8,0.444,0.0,0.0,,1.5,1.5,3.0,0.0,1.5,0.0,0.5,1.0,4.0
SG,5,0,11.8,1.4,2.8,0.5,0.6,1.2,0.5,0.8,1.6,0.5,0.607,0.6,1.0,0.6,0.2,1.0,1.2,0.6,0.8,0.0,0.8,0.6,4.0
PG,3,0,4.0,1.7,2.3,0.714,0.3,0.7,0.5,1.3,1.7,0.8,0.786,0.3,0.3,1.0,0.3,1.0,1.3,0.7,0.0,0.0,0.3,0.0,4.0
SF,3,0,16.7,1.3,3.7,0.364,1.3,3.3,0.4,0.0,0.3,0.0,0.545,0.0,0.0,,0.7,2.7,3.3,0.3,0.3,0.7,0.0,2.0,4.0
SG,3,0,9.0,0.7,2.3,0.286,0.3,2.0,0.167,0.3,0.3,1.0,0.357,2.3,2.7,0.875,0.0,1.3,1.3,1.3,0.3,1.0,0.7,1.3,4.0
